-22140, -19554,  17592, -19257, -25766, -28518,  -8203,  13549,  11064,  30734, -22933, -17072, -20531,   2787,  13370,   3969, 
   288, -17795,  -6452, -17881,   -889,  17622, -32311, -19618,  10011,  13689,  20842, -24775,  -4047,  -7257,  16023, -18059, 
 28807, -32101,    700, -20537,  -2348,   1602,  15842,  31619,  -2058, -26955, -25859,  29283,  -1087,   6721, -32145,  15210, 
-29063,  32582, -32073,  30289,   1970,   2045,  -3646, -24212,   7710,  23704, -25894, -19409,  -4922,  10384, -30083, -14824, 
 11366,  19249, -10681,  19320,  -4478,  10113, -25726,  28676, -16873,  27109, -18128,  23852, -12304,  27782,  22699,  23491, 
-10134,  -2909, -12353, -30722,   1158,  32381, -26054,  22690, -10189, -21676,  -8636, -14744,   6302,  -1312,  11897,  17681, 
 -1108, -18993, -14784,  -8241, -24776,   9746,  -7196,  20452, -27190,  32549,  -7334, -20473,  -9566,     78,  32248, -30197, 
-22905, -29553,  -4927,  12105, -17035,   4285,  -8476, -32671,  -2898,  -4725,  15744,   8020,   5595,  11614,   7526,   3737, 
-28464,   5550, -18698, -28601, -23616,  -9881,   -678,  19382, -19038,  10938,  22694, -22155, -29859, -11353, -14063,  23287, 
-27597,   8010, -29760,  13649, -27976,  27978,  17627, -17612, -26897,  22664,  27226,  22844, -17689,  20642, -27163,  28181, 
 26350, -31061,   2639,  29081, -15968,  14364,  32426,  -2664,  20489,  18812, -15118,    299, -26926,  10286, -27448,  -3584, 
-10524,   3339,  19906, -30628,  22177,  19611,  -8733, -22002, -15413, -12126, -16452,   5719, -25838,  11665,   -537,  13074, 
-27567,  -9415,   -990, -14024,  25615, -29105,  14007, -30813, -21580, -19655,  32113, -17830, -14669, -17118,  -5552,   5930, 
 15462, -20514,   9400, -27936, -11874,  25920,   6498,    202,   6790,   7345,   2122, -25511,  -6150,  14733,  22856,   1913, 
  5469, -18070,  12570,  -1158, -10701, -30609,   3652,  21288,  29656,  -6024, -13900,  25190,  -1642,   3619, -15511,  21314, 
-17757, -19234,    879, -30312, -28248, -15343,  -3182,  19539, -17680, -18899,   3672,   8090, -20486,  28166,  16194, -29412, 
 16455, -19405, -31450,  -3719, -12062,  10055, -18694,  -6011,   3025,  29334,  12944,  23367,  30837,  23766,  -2694,  28062, 
  5383, -29904,  12388, -20294,   1330,   7828,   1065,   -171, -26612, -31909,  24639, -23809, -18681,  -9068,   3469, -29430, 
 -8448,  14591, -27097,  -6595,  11828,   -139, -16852,   5468,    931,   3655,   5672,  12004,  15866,  28961, -29846, -12311, 
   438,   1859,  -9073,  30794, -20447,  29619, -20008,  -1467,  22525, -15228, -11719,  27931,  -8480,  -1925,  25381,  -8525, 
 20812, -25390, -31658, -14857, -13882,  23012, -15786, -25982, -21832,   9455,  10621, -28842,  10141, -16358, -29959, -27497, 
 -5928,  -8576,  20112, -24432,   7325,   3162,  15163,  15621, -24849,   -220,  18201, -10733, -29466,  22093,  13086, -22625, 
  8242, -23341,  -7810,  21214, -16647,  19807,  19400,   9864, -19796, -24332, -31461,  23875,  27919,  22532, -29382, -10643, 
 -4752,    897, -25636,  32025, -20515,   7604,  13269,  19640, -18522,  -5342,  25698, -16199,  -1259, -24635, -11169, -21273, 
-18806,  -8299,   -836,   7616,  13698,  -7430,  -2343,  32098,  -8453,   4639, -18837, -29752, -24433,  20073,  26717, -32504, 
 19764,  24681, -14187, -12879, -10886,  31233,  -9409,  -8630,  -2337,  22794,  -8512,   -244,   6701,  30104, -17639, -31791, 
-13253,  27778, -11715, -19206,  19329, -17656,  28343,    447,  26215,   8371, -13411,   1969,  25455,   9510,   -543, -16388, 
  5790,   3963, -10735,  -7576, -22335,  14801, -22343,  -5952, -22066,   1409,   5908,  21932, -29681,   9465,  15700, -18674, 
  8238,  31868, -16478,  10934,  24139,  24033,  11982, -27322, -30239,  28823, -32071,  -7140,  25926, -30198, -15106, -24958, 
-28825,    552,  17593, -27627,  24334, -19232,  28088,    152, -31033,  29418,  30787,  23135, -24897, -22437, -20138, -25164, 
 17591,    229,   6857,   -937,  20308,  28445,  11166,  18619, -18992,  26141, -28526,  19585, -17207,  26658,   8963,   8075, 
 31068,  25385,   1356,  17390,  -4548,  13882,  20383, -23431, -19629, -26694,  28659,  31508,  -5853,  27119,  25759, -29481, 
-14957, -18256,  22516,   6911,  -4758,  31611,  -6538,   5307,  15138, -23098, -23717, -10883, -11887, -19632, -13774,  15408, 
   395, -13878,  19228, -19823,  -5144,  25757,  27639, -19863,  23347,   6006,  10806,  -7001, -29905,   6950,  19291, -10061, 
 29919, -32390,   9529,  31073,  29257,  28010, -25435,  -7431, -24161,  -7141, -18062,  23793,  12266,   1799, -31561,  -3921, 
  3793,  27852,   9777, -29002,  29102,  24873, -20143,  -8040,   5869,  28419,  19330,  24526,  31183,  28897,  -7839, -25728, 
 11484,  30726,  -3896,  -8345, -18690,   6800, -12744, -23646, -30203,  18536, -21055,  25998,    736,  26731,  -1693, -17055, 
-17856,  19273,     40,   4858,  14775,  19259, -30937,   8941,  22553, -12406,   5684,  16930,  10869,  -9391,   7253,   9579, 
 -7153,  -4536, -12281,  21718,  10539,  18059, -29164, -23023,  25950, -26148,   -155,    178,  24188,  30615, -22802, -15070, 
 25352, -23495, -12122, -20286,    621, -31038, -25925,   7456, -32721,   9743,  16984, -23686,   -375,  -5949,   6479, -26290, 
-31992,   9825,  27693,  30181,  15812,  -1041,  11835, -26378, -10903,  -1305,  24451,   2898, -18536, -28533,  22372,  13746, 
 25811,  -6722,   8755,  28234, -20345, -14549,  -6857, -30868, -12637, -25064,   9129, -22025,   2348, -21364,  -3720,   6346, 
 20275, -30404, -32450,  17534, -29294, -14269,  15813,    187, -10518,   8612, -28501,  17812, -25236,   2750,  27579,  14331, 
 26066,  18035,  -1081,  16949,  -7594, -22174,  -2414,  -1057,  21918, -23590,   9634,  28983,  -5104,   -894, -17441, -27284, 
   -40,  -7958,  26337,  26045,  -4589,  -2364, -19339, -12592,  27302,   7432,  27188,  15061,  18979,  29624, -12059,  30412, 
 -6313, -14906, -14105,  12261,  -8617, -15022, -23698, -29545,   5305, -26356, -14544,  19992,  -4438,  -4874,  21003, -11414, 
-23071,  11501,  -1736,  -2730,  16646, -25165,  10017,  -8340, -17986,  24942,  -6791,   6289,  25228,   7227,  27875,  29789, 
 21791, -14839, -16584,  17005,   8181, -32739, -32438,   2968,  20338,  32694, -32682,  16387, -10678, -21502,  -3504,  -2520, 
 27285,  19040,  10819,  20832, -26144,  12693, -30002, -31438,   1488, -14833, -17377,  -9407,  -7607,  32327, -29773,   9221, 
 -8369,  -1756,   2475,  26004,  -5710,   1161,   2836,  30678, -23278,   4367,   4278, -10020, -22411, -23806,  13953,   5855, 
-18018,  18279,  20214,   -940, -22389,  11980,  23317,  31246,  29894,  32295, -12593,  11986,  -9613,  -8646,   9387,  -9785, 
 -9295,  22842, -31049, -26626,   2375, -27986, -31740,   -117, -10699,  15211,  12070, -26804,  -7890,   7105,  22985,  23905, 
  6002,  14061, -11332, -28227,  14389,  29304,  17930,  -1168, -16920,   4378,  -5566,  -4491,   3719, -24474,   3272,  27312, 
  -818, -11694,  23288,  13623,  -7562,  -4956, -13138, -15593,    946, -12675,  16230, -26493,  14328,  12314,  -3422, -22701, 
 19097,  -4203,  14976,   4247,  -9285,  14752,    653, -32188, -19831,   4995, -32131,  18524,  22786,  17142, -25196,  26402, 
 18253,  25922,    596,  -6850, -27467,  17671,  16458, -19098,  -2845, -24985, -22270, -20117, -30607,  23648, -17733, -25579, 
-17879,  17212, -18213,   1088, -10013,  -5352, -27677, -26024,  20075, -20005,  18953, -27808,  14149,  -4986,   3435, -29083, 
-12787,  28435,  -3095,  29158,   8822, -27791,  30870, -27532,  28670,   8636, -19274,  10749,   9501,   4389, -32045, -12572, 
-21409,  24467, -25403, -24782,   7736,  12359,  -3761,   1188,  -7868, -31407,  10606,   6032, -29441,  25861,  27375, -21960, 
-23874,  23190,   9330,   4672,  18429,  19862, -19457, -23575,  32358,  21571, -12399,  -7336,  16417,  14960, -32607,  -6915, 
